epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,18650.3,0.93475,1.17928,1.30774,0.68367,0.59935,0.65982,0.54742,0.57538,0.7401,1.0657,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19158.3,0.93842,1.17293,1.30866,0.68808,0.60175,0.66108,0.54913,0.57425,0.73777,1.06421,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19708.1,0.93311,1.16563,1.30266,0.68771,0.602,0.66301,0.55093,0.57383,0.73534,1.06315,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,20205.1,0.92949,1.15923,1.2989,0.68513,0.61666,0.66483,0.55275,0.57328,0.73332,1.0621,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,20596.6,0.92729,1.15361,1.29829,0.68286,0.62077,0.66683,0.5541,0.57251,0.73109,1.06092,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20996.7,0.92616,1.15092,1.29527,0.67758,0.62877,0.67105,0.55661,0.57098,0.72888,1.05935,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,21399.1,0.92424,1.14313,1.29516,0.67974,0.63067,0.67245,0.55812,0.56981,0.72714,1.0581,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,21802.5,0.91787,1.13255,1.28789,0.67775,0.62867,0.67143,0.55992,0.56838,0.72485,1.0565,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,22193.8,0.91813,1.1288,1.28786,0.68263,0.62581,0.6738,0.56258,0.56713,0.72172,1.05516,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,22595.1,0.91982,1.13205,1.28958,0.69012,0.62576,0.67511,0.56452,0.56599,0.71936,1.05385,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22997.4,0.91767,1.12439,1.28616,0.69537,0.62353,0.67988,0.56636,0.56448,0.71792,1.05241,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,23401.5,0.90951,1.11361,1.27867,0.69802,0.62112,0.68188,0.56827,0.56299,0.71528,1.05121,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23804.8,0.90979,1.10833,1.27781,0.69744,0.62703,0.68307,0.56943,0.56185,0.71236,1.04984,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,24194.5,0.90762,1.10466,1.27849,0.69456,0.62796,0.68431,0.5706,0.56108,0.71081,1.049,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,24613.5,0.90903,1.10307,1.27662,0.70052,0.62813,0.6853,0.57164,0.56005,0.70857,1.04786,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,25152.4,0.90345,1.09724,1.27356,0.71729,0.62274,0.68613,0.57273,0.5594,0.70568,1.04711,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,25691.4,0.89853,1.08459,1.27079,0.7145,0.62492,0.68705,0.57363,0.55841,0.70306,1.04606,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26206.4,0.89708,1.08619,1.26918,0.71721,0.62468,0.68789,0.57501,0.55734,0.70083,1.04494,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,26618.6,0.89859,1.07755,1.26546,0.71348,0.62806,0.68967,0.57709,0.55631,0.69934,1.04365,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27173.8,0.89398,1.07495,1.26166,0.71663,0.62481,0.69098,0.57826,0.55488,0.69759,1.04199,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,27785.8,0.89166,1.06391,1.26118,0.71763,0.62842,0.69131,0.57974,0.55425,0.69519,1.04125,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28336.7,0.88959,1.05876,1.2593,0.7214,0.62698,0.6924,0.58049,0.55327,0.69317,1.03979,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28728.6,0.88552,1.0549,1.25652,0.71305,0.63061,0.69376,0.58187,0.55282,0.69079,1.03892,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29143.8,0.88116,1.05127,1.2569,0.71461,0.63025,0.69439,0.58208,0.55172,0.68926,1.03747,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29698.7,0.87951,1.04826,1.25498,0.7058,0.63786,0.69599,0.58358,0.55086,0.68734,1.03666,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,30266.1,0.87581,1.03653,1.25109,0.70907,0.63877,0.6969,0.58463,0.54958,0.68591,1.03489,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30786.9,0.87649,1.03564,1.25134,0.70985,0.64256,0.69794,0.58538,0.54876,0.6834,1.034,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,31189.7,0.87745,1.02784,1.24817,0.70888,0.63789,0.69837,0.58613,0.54774,0.68254,1.03288,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31593.4,0.87318,1.02791,1.24512,0.71204,0.64354,0.69911,0.58743,0.54644,0.68091,1.03175,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31994.4,0.86901,1.02068,1.24434,0.71146,0.64506,0.69992,0.58791,0.54543,0.67956,1.03078,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32385.6,0.86642,1.01908,1.24209,0.7138,0.64374,0.70054,0.58895,0.5442,0.67731,1.02983,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32784.5,0.86088,1.00556,1.23728,0.71423,0.64066,0.70126,0.5901,0.54339,0.67594,1.02914,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,33185,0.8614,1.00368,1.23778,0.71292,0.64054,0.70145,0.59058,0.54253,0.67405,1.02799,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33592.3,0.85506,0.99468,1.23404,0.71287,0.64067,0.70219,0.59125,0.54169,0.67372,1.02701,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,34006,0.85645,0.98944,1.23088,0.70915,0.64708,0.70295,0.59248,0.54035,0.6718,1.02567,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,34418.1,0.85725,0.9912,1.23407,0.70981,0.64636,0.70334,0.59259,0.53974,0.67043,1.02483,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34829,0.85117,0.98002,1.22888,0.71105,0.64994,0.70435,0.59365,0.53928,0.66899,1.02411,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
