epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,1473.41,1.14716,0.96145,1.37881,0.78513,0.66141,0.75559,0.50729,1.14507,0.9258,1.39292,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1513,1.14137,0.96596,1.38169,0.75652,0.68455,0.75939,0.51512,1.13597,0.90414,1.38575,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1550.75,1.14648,0.9681,1.37956,0.77212,0.68586,0.76163,0.5171,1.13059,0.91929,1.37922,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,1587.93,1.12898,0.94092,1.36817,0.79836,0.68273,0.76742,0.52377,1.12012,0.89654,1.36842,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,1624.79,1.12067,0.92492,1.35203,0.80233,0.67257,0.76812,0.52671,1.11648,0.88682,1.3694,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,1661.63,1.11698,0.93113,1.36433,0.77676,0.69278,0.76776,0.52417,1.1186,0.88724,1.37122,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,1698.12,1.10611,0.92679,1.35442,0.78027,0.69831,0.77494,0.53098,1.11178,0.87993,1.3681,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,1735.51,1.10968,0.91006,1.34392,0.78314,0.68835,0.7752,0.53416,1.09753,0.85645,1.35849,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1772.82,1.09977,0.91761,1.34758,0.78181,0.70136,0.77185,0.53298,1.09242,0.86431,1.35035,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,1810.6,1.09944,0.90145,1.33854,0.79527,0.67755,0.77466,0.52845,1.09907,0.88483,1.3595,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,1848.3,1.08441,0.89095,1.33359,0.8056,0.6734,0.77636,0.53628,1.09075,0.85936,1.34039,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,1886.93,1.08087,0.87539,1.32467,0.80013,0.68862,0.77561,0.53573,1.09377,0.85641,1.3479,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,1923.67,1.07792,0.87914,1.31894,0.77808,0.70385,0.78046,0.54174,1.08054,0.85629,1.33433,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,1961.16,1.0772,0.8781,1.33029,0.80354,0.70302,0.78819,0.54864,1.07479,0.83147,1.33582,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,1999.48,1.07018,0.87006,1.3236,0.8023,0.70025,0.78718,0.54563,1.07768,0.84491,1.33761,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2033.36,1.07172,0.8649,1.31397,0.80158,0.70302,0.78797,0.55103,1.07244,0.82791,1.32889,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2069.36,1.06395,0.86159,1.31106,0.78495,0.72405,0.79213,0.55077,1.06364,0.83117,1.32541,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,2105.86,1.06441,0.85615,1.30049,0.79402,0.71547,0.78916,0.55454,1.06098,0.81815,1.32436,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,2143.16,1.05584,0.84058,1.30209,0.7904,0.71704,0.7939,0.55601,1.05354,0.8104,1.3104,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,2180.34,1.04467,0.84373,1.29657,0.79683,0.72101,0.79986,0.56079,1.04143,0.79459,1.30505,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,2217.71,1.0518,0.84125,1.30468,0.79379,0.733,0.79969,0.55857,1.05633,0.8003,1.31631,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2254.63,1.0429,0.83593,1.29571,0.80757,0.71243,0.79578,0.56214,1.04266,0.79922,1.30235,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2292.7,1.03992,0.82854,1.28796,0.79191,0.73415,0.80086,0.5685,1.04386,0.78661,1.30245,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2331.99,1.04179,0.83333,1.28788,0.79747,0.7389,0.80598,0.56695,1.03912,0.77893,1.29243,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,2372.45,1.03675,0.81956,1.2814,0.81963,0.71381,0.80475,0.56679,1.03033,0.78665,1.28768,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,2411.03,1.01914,0.80885,1.2793,0.79096,0.74121,0.81058,0.57611,1.02661,0.7709,1.28638,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,2450.58,1.02282,0.80364,1.27284,0.79443,0.73481,0.80779,0.57441,1.02892,0.77775,1.28466,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,2489.23,1.01848,0.81705,1.2747,0.80836,0.72499,0.8096,0.57702,1.01811,0.76389,1.27341,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,2529.16,1.01331,0.80403,1.27119,0.84131,0.71899,0.81762,0.57865,1.02033,0.75817,1.27272,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,2567.68,1.01308,0.79274,1.26434,0.80864,0.73402,0.80944,0.5763,1.01663,0.76114,1.28097,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,2606.56,1.00182,0.78649,1.25997,0.80848,0.73374,0.81159,0.57928,1.00454,0.7637,1.27517,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,2645.67,1.00505,0.78287,1.25843,0.81482,0.74619,0.81757,0.58479,1.00857,0.74927,1.26571,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,2683.57,1.00354,0.78218,1.25592,0.84058,0.72239,0.82051,0.59218,0.99961,0.73407,1.25961,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
