epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1938.02,0.7983,0.54289,1.03802,0.88875,0.82065,0.89261,0.69017,0.81112,0.52765,1.03116,0.0006965,0.0006965,0.0006965
81,1960.19,0.79548,0.53819,1.0336,0.88026,0.82407,0.89241,0.68815,0.81796,0.52348,1.0307,0.00068,0.00068,0.00068
82,1982.53,0.78696,0.52707,1.03092,0.89038,0.8176,0.89612,0.69086,0.81682,0.5197,1.03201,0.0006635,0.0006635,0.0006635
83,2004.86,0.78888,0.53439,1.03514,0.88231,0.82791,0.89647,0.69379,0.80864,0.51929,1.02714,0.000647,0.000647,0.000647
84,2027.37,0.78341,0.53097,1.02959,0.88935,0.81647,0.89402,0.69618,0.79933,0.51224,1.02314,0.0006305,0.0006305,0.0006305
85,2049.86,0.78883,0.53359,1.03278,0.88107,0.82701,0.89816,0.6943,0.80508,0.51393,1.02945,0.000614,0.000614,0.000614
86,2072.47,0.78268,0.52887,1.02788,0.89629,0.80958,0.8946,0.69264,0.80149,0.5157,1.02056,0.0005975,0.0005975,0.0005975
87,2094.9,0.77883,0.53012,1.02699,0.89223,0.81804,0.89298,0.69511,0.80193,0.51056,1.0255,0.000581,0.000581,0.000581
88,2117.4,0.78367,0.53268,1.0266,0.88152,0.82674,0.89774,0.69549,0.79988,0.51759,1.02155,0.0005645,0.0005645,0.0005645
89,2139.84,0.7751,0.52266,1.02568,0.89539,0.81967,0.89762,0.69722,0.79677,0.51237,1.01925,0.000548,0.000548,0.000548
90,2161.98,0.77121,0.52025,1.02298,0.88191,0.832,0.89791,0.69698,0.79725,0.5102,1.01887,0.0005315,0.0005315,0.0005315
91,2184.4,0.77229,0.51953,1.01987,0.88005,0.83975,0.89715,0.69906,0.78863,0.50568,1.0155,0.000515,0.000515,0.000515
92,2206.92,0.77317,0.51599,1.02176,0.89226,0.82749,0.8967,0.69787,0.79535,0.51126,1.01927,0.0004985,0.0004985,0.0004985
93,2229.31,0.76465,0.50942,1.0163,0.88036,0.84117,0.89909,0.70008,0.78737,0.50768,1.01429,0.000482,0.000482,0.000482
94,2251.62,0.76918,0.51749,1.02072,0.87703,0.837,0.89897,0.7007,0.78782,0.50593,1.01489,0.0004655,0.0004655,0.0004655
95,2273.62,0.75559,0.50243,1.01716,0.89147,0.82563,0.89786,0.70027,0.78893,0.50806,1.01433,0.000449,0.000449,0.000449
96,2295.86,0.77037,0.51074,1.01536,0.88142,0.8373,0.89955,0.70169,0.78546,0.50633,1.0107,0.0004325,0.0004325,0.0004325
97,2318.15,0.75859,0.5095,1.01814,0.89197,0.82757,0.89939,0.70238,0.7869,0.50496,1.01453,0.000416,0.000416,0.000416
98,2340.35,0.75801,0.5082,1.01149,0.89353,0.82921,0.8996,0.70257,0.78458,0.50504,1.01293,0.0003995,0.0003995,0.0003995
99,2362.52,0.74756,0.50005,1.0106,0.8954,0.8269,0.89998,0.70252,0.78556,0.50206,1.01282,0.000383,0.000383,0.000383
100,2384.44,0.76302,0.50911,1.0138,0.89259,0.83421,0.8984,0.70274,0.78306,0.50037,1.01106,0.0003665,0.0003665,0.0003665
101,2406.35,0.76477,0.51059,1.0153,0.8939,0.82812,0.90006,0.70587,0.77516,0.49583,1.00418,0.00035,0.00035,0.00035
102,2428.64,0.75189,0.49599,1.00805,0.90904,0.82152,0.89822,0.70559,0.77576,0.49591,1.00332,0.0003335,0.0003335,0.0003335
103,2450.84,0.7473,0.49573,1.00984,0.90023,0.82646,0.90213,0.70838,0.77318,0.49434,1.00326,0.000317,0.000317,0.000317
104,2473.12,0.75144,0.50033,1.01312,0.89796,0.82867,0.90231,0.70721,0.77437,0.49324,1.00597,0.0003005,0.0003005,0.0003005
105,2495.18,0.74915,0.4987,1.01047,0.89684,0.8367,0.90261,0.70946,0.77374,0.49421,1.00566,0.000284,0.000284,0.000284
106,2517.33,0.74286,0.494,1.0025,0.90256,0.83338,0.90192,0.71114,0.77121,0.49288,1.00396,0.0002675,0.0002675,0.0002675
107,2539.58,0.73641,0.49143,1.00314,0.91115,0.82592,0.90246,0.70996,0.77307,0.49206,1.00238,0.000251,0.000251,0.000251
108,2561.86,0.75398,0.4984,1.01432,0.9112,0.82647,0.90363,0.71235,0.77095,0.49223,1.00296,0.0002345,0.0002345,0.0002345
109,2584.04,0.74031,0.49194,1.00797,0.90684,0.82286,0.90334,0.71121,0.76981,0.49212,1.00173,0.000218,0.000218,0.000218
110,2606.18,0.74558,0.49226,1.0027,0.88858,0.84279,0.90337,0.70967,0.77062,0.49103,1.00085,0.0002015,0.0002015,0.0002015
111,2645.21,0.69962,0.43348,0.96368,0.87627,0.83111,0.89715,0.70254,0.78206,0.50023,1.00747,0.000185,0.000185,0.000185
112,2666.64,0.68854,0.41778,0.95766,0.88957,0.82757,0.89799,0.70487,0.78143,0.49884,1.00757,0.0001685,0.0001685,0.0001685
113,2688.23,0.68067,0.41557,0.95533,0.90628,0.81904,0.89991,0.70435,0.77665,0.4938,1.00495,0.000152,0.000152,0.000152
114,2709.66,0.67842,0.41066,0.95391,0.90167,0.82488,0.90082,0.70556,0.77546,0.49161,1.00478,0.0001355,0.0001355,0.0001355
115,2731.25,0.66983,0.40469,0.94836,0.91182,0.82429,0.90219,0.70735,0.77423,0.49078,1.005,0.000119,0.000119,0.000119
116,2752.77,0.66728,0.40402,0.94458,0.91162,0.82221,0.90168,0.70891,0.7718,0.48884,1.00523,0.0001025,0.0001025,0.0001025
117,2774.41,0.67373,0.40455,0.95053,0.91068,0.82812,0.90138,0.70909,0.77077,0.48783,1.00403,8.6e-05,8.6e-05,8.6e-05
118,2795.98,0.66313,0.40017,0.94469,0.91098,0.82707,0.90179,0.70859,0.76874,0.48809,1.00291,6.95e-05,6.95e-05,6.95e-05
119,2817.23,0.6659,0.40261,0.94559,0.90802,0.82792,0.90192,0.70858,0.76698,0.48817,1.0013,5.3e-05,5.3e-05,5.3e-05
120,2838.67,0.66061,0.39604,0.94273,0.90947,0.82923,0.90175,0.7094,0.76603,0.48652,1.00053,3.65e-05,3.65e-05,3.65e-05
