epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2255.4,1.05986,0.84532,1.31544,0.81764,0.6999,0.79914,0.55941,1.06121,0.79851,1.33196,0.000944,0.000944,0.000944
82,2285.85,1.03612,0.82208,1.30189,0.80633,0.70982,0.79856,0.56167,1.06075,0.79816,1.32914,0.0009308,0.0009308,0.0009308
83,2315.79,1.04883,0.83509,1.31293,0.80047,0.72322,0.80474,0.56567,1.05091,0.78479,1.31867,0.0009176,0.0009176,0.0009176
84,2345.35,1.03941,0.8283,1.29952,0.82223,0.71815,0.80646,0.56966,1.04725,0.79078,1.31655,0.0009044,0.0009044,0.0009044
85,2375.34,1.04068,0.81778,1.30238,0.80242,0.73014,0.80654,0.56988,1.05365,0.78508,1.32057,0.0008912,0.0008912,0.0008912
86,2400.07,1.04015,0.81444,1.29932,0.81699,0.7199,0.80495,0.56786,1.04513,0.77915,1.31824,0.000878,0.000878,0.000878
87,2421.85,1.02603,0.81599,1.29278,0.81224,0.73277,0.81294,0.57219,1.04586,0.77048,1.31167,0.0008648,0.0008648,0.0008648
88,2443.69,1.03225,0.81783,1.29537,0.80696,0.73069,0.81008,0.57119,1.04041,0.7711,1.31058,0.0008516,0.0008516,0.0008516
89,2466.66,1.02463,0.80148,1.29297,0.81945,0.7318,0.80919,0.57301,1.04014,0.76348,1.31155,0.0008384,0.0008384,0.0008384
90,2488.86,1.02038,0.7963,1.28727,0.81744,0.72627,0.81024,0.57475,1.03422,0.75692,1.30902,0.0008252,0.0008252,0.0008252
91,2513.18,1.01351,0.79465,1.27682,0.82024,0.73378,0.81705,0.57638,1.03623,0.76019,1.31039,0.000812,0.000812,0.000812
92,2534.94,1.0161,0.79336,1.28123,0.81802,0.73034,0.81338,0.57539,1.0324,0.75902,1.30455,0.0007988,0.0007988,0.0007988
93,2557.02,1.0084,0.78036,1.27422,0.82851,0.72206,0.81534,0.5813,1.02635,0.7558,1.30214,0.0007856,0.0007856,0.0007856
94,2580.33,1.01228,0.7984,1.27861,0.81392,0.73291,0.81735,0.58214,1.02305,0.74722,1.29554,0.0007724,0.0007724,0.0007724
95,2603.39,0.98805,0.76929,1.27195,0.81439,0.73429,0.81599,0.58101,1.02765,0.74463,1.3015,0.0007592,0.0007592,0.0007592
96,2625.62,1.00403,0.77896,1.26604,0.81472,0.73754,0.81591,0.58404,1.01474,0.74257,1.28935,0.000746,0.000746,0.000746
97,2648.49,0.99572,0.76995,1.26795,0.8168,0.733,0.81424,0.58114,1.02396,0.75126,1.29797,0.0007328,0.0007328,0.0007328
98,2670.73,0.99086,0.77473,1.26119,0.82482,0.7337,0.81701,0.58337,1.0143,0.74835,1.2888,0.0007196,0.0007196,0.0007196
99,2693.19,0.98417,0.76284,1.25765,0.80319,0.74785,0.81955,0.58626,1.00896,0.73869,1.28107,0.0007064,0.0007064,0.0007064
100,2715.01,0.99918,0.7724,1.26073,0.80552,0.74315,0.81837,0.58461,1.01298,0.74366,1.28815,0.0006932,0.0006932,0.0006932
101,2736.88,0.99413,0.77003,1.2576,0.81286,0.74702,0.827,0.59122,1.01072,0.73075,1.2842,0.00068,0.00068,0.00068
102,2759.28,0.9861,0.75379,1.25776,0.81282,0.75394,0.82463,0.58972,1.0115,0.73527,1.2837,0.0006668,0.0006668,0.0006668
103,2781.23,0.97697,0.75204,1.25312,0.82228,0.74869,0.82797,0.59321,1.01146,0.71941,1.28724,0.0006536,0.0006536,0.0006536
104,2802.84,0.97894,0.75468,1.25233,0.83874,0.74038,0.82577,0.59156,1.01018,0.7196,1.28413,0.0006404,0.0006404,0.0006404
105,2824.75,0.97967,0.75434,1.25294,0.81653,0.75508,0.82612,0.59272,1.00256,0.72268,1.27906,0.0006272,0.0006272,0.0006272
106,2848.36,0.96786,0.73674,1.23774,0.83159,0.74761,0.8306,0.59852,0.9964,0.71102,1.27473,0.000614,0.000614,0.000614
107,2870.52,0.96557,0.73017,1.24332,0.84031,0.74841,0.83364,0.59691,1.00022,0.70959,1.28049,0.0006008,0.0006008,0.0006008
108,2892.61,0.9754,0.74364,1.24984,0.83546,0.74785,0.83204,0.5971,1.00079,0.70966,1.27603,0.0005876,0.0005876,0.0005876
109,2914.74,0.95988,0.73564,1.24146,0.83107,0.75394,0.83363,0.60045,0.99298,0.70929,1.26989,0.0005744,0.0005744,0.0005744
110,2936.91,0.96652,0.73112,1.23438,0.8372,0.74758,0.83284,0.60173,0.9907,0.69982,1.26919,0.0005612,0.0005612,0.0005612
111,2959.17,0.9563,0.72409,1.23269,0.84735,0.74669,0.83697,0.60368,0.98414,0.69408,1.26467,0.000548,0.000548,0.000548
112,2981.5,0.95248,0.72362,1.23219,0.83789,0.75035,0.83661,0.60524,0.98121,0.69175,1.26107,0.0005348,0.0005348,0.0005348
113,3003.64,0.96012,0.72587,1.23971,0.839,0.75616,0.83852,0.60711,0.98268,0.68863,1.2583,0.0005216,0.0005216,0.0005216
114,3026.1,0.94574,0.72268,1.23475,0.83197,0.76195,0.83723,0.60663,0.9814,0.69032,1.25635,0.0005084,0.0005084,0.0005084
115,3048.43,0.94029,0.7096,1.22494,0.82841,0.76059,0.83744,0.60554,0.98164,0.69073,1.25874,0.0004952,0.0004952,0.0004952
116,3070.74,0.96057,0.7282,1.23176,0.84822,0.74896,0.83996,0.6081,0.98015,0.68796,1.25786,0.000482,0.000482,0.000482
117,3092.73,0.93797,0.70761,1.22055,0.83955,0.75394,0.83974,0.60891,0.97648,0.68564,1.25463,0.0004688,0.0004688,0.0004688
118,3113.74,0.93815,0.70438,1.22016,0.8403,0.7426,0.83818,0.60755,0.97666,0.68626,1.25399,0.0004556,0.0004556,0.0004556
119,3134.82,0.93658,0.70736,1.21925,0.83885,0.75496,0.84158,0.60894,0.97474,0.68051,1.25272,0.0004424,0.0004424,0.0004424
120,3156.57,0.92969,0.70448,1.21857,0.84503,0.75367,0.84255,0.6114,0.97774,0.67834,1.25857,0.0004292,0.0004292,0.0004292
121,3178.15,0.93481,0.69599,1.21394,0.84475,0.75422,0.84357,0.61134,0.97454,0.67994,1.25437,0.000416,0.000416,0.000416
122,3200.13,0.92842,0.69799,1.21159,0.85222,0.7509,0.84359,0.61425,0.96789,0.67716,1.24796,0.0004028,0.0004028,0.0004028
123,3222.24,0.92669,0.69691,1.21769,0.85817,0.74526,0.8446,0.61432,0.96726,0.67439,1.24825,0.0003896,0.0003896,0.0003896
124,3244.4,0.92886,0.69379,1.21097,0.84378,0.76989,0.84695,0.61663,0.96502,0.67209,1.24386,0.0003764,0.0003764,0.0003764
125,3266.48,0.91847,0.68367,1.20499,0.85383,0.75699,0.84496,0.61496,0.96377,0.67528,1.24407,0.0003632,0.0003632,0.0003632
126,3288.7,0.91855,0.68049,1.20518,0.86316,0.75249,0.849,0.61776,0.95786,0.66704,1.24091,0.00035,0.00035,0.00035
